normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
innate immunity,[SJR:norm_title] Journal of Innate Immunity | [SJR:norm_title] Innate Immunity,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Innate Immunity,,Y
innovation,[SJR:norm_title] Innovation | [SJR:norm_title] International Journal of Innovation,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Innovation,,Y
inquiry,[SJR:norm_title] Inquiry (United States) | [SJR:norm_title] Inquiry (United Kingdom),SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Inquiry (United Kingdom),,Y
integrated care,[SJR:norm_title] International Journal of Integrated Care | [SJR:norm_title] Journal of Integrated Care,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Integrated Care,,Y
intelligent systems,[SJR:norm_title] International Journal of Intelligent Systems | [SJR:norm_title] Journal of Intelligent Systems,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Intelligent Systems,,Y
intensive care medicine,[SJR:norm_title] Intensive Care Medicine | [SJR:norm_title] Journal of Intensive Care Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Intensive Care Medicine,,Y
iron steel research,[SJR:norm_title] Journal of Iron and Steel Research International | [SJR:norm_title] Journal of Iron and Steel Research,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Iron and Steel Research,,Y
islamic architecture,[SJR:norm_title] Journal of Islamic Architecture | [SJR:norm_title] International Journal of Islamic Architecture,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Islamic Architecture,,Y
iswc,[CORE:acronym] IEEE International Symposium on Wearable Computers | [CORE:acronym] International Semantic Web Conference,CORE Journal Published | CORE A,acronym,0,,[CORE A] International Semantic Web Conference,,Y
itc,[CORE:acronym] IEEE International Test Conference | [CORE:acronym] International Teletraffic Congress,CORE A | CORE Unranked,acronym,0,,[CORE Unranked] International Teletraffic Congress,,Y
jesuit studies,[SJR:norm_title] Journal of Jesuit Studies | [SJR:norm_title] Jesuit Studies,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Jesuit Studies,,Y
knowledge management,[SJR:norm_title] Journal of Knowledge Management | [SJR:norm_title] International Journal of Knowledge Management,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Knowledge Management,,Y
korean studies,[SJR:norm_title] Korean Journal of International Studies | [SJR:norm_title] Journal of Korean Studies | [SJR:norm_title] Korean Studies,SJR Q3 | SJR Q3 | SJR Q1,norm_title,0,,[SJR Q1] Korean Studies,,Y
language education,[SJR:norm_title] Language and Education | [SJR:norm_title] Journal of Language and Education | [SJR:norm_title] International Journal of Language Education | [SJR:norm_title] The Language of Education,SJR Q1 | SJR Q1 | SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] The Language of Education,,Y
law society,[SJR:norm_title] Journal of Law and Society | [SJR:norm_title] International Journal of Law and Society,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Law and Society,,Y
learning disabilities,[SJR:norm_title] Journal of Learning Disabilities | [SJR:norm_title] Learning Disabilities,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Learning Disabilities,,Y
lexis,[SJR:norm_title] Lexis (Peru) | [SJR:norm_title] Lexis,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Lexis,,Y
libri,[SJR:norm_title] Libri | [SJR:norm_title] Libri (Turkey),SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Libri (Turkey),,Y
limite,[SJR:norm_title] Limite | [SJR:norm_title] Limite (Chile),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Limite (Chile),,Y
liver transplantation,[SJR:norm_title] Liver Transplantation | [SJR:norm_title] Journal of Liver Transplantation,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Liver Transplantation,,Y
logos,[SJR:norm_title] Logos (Lithuania) | [SJR:norm_title] Logos (Russian Federation) | [SJR:norm_title] Logos (The Netherlands) | [SJR:norm_title] Logos (Spain) | [SJR:norm_title] Logos (United States),SJR Q2 | SJR Q1 | SJR Q1 | SJR Q3 | SJR Q2,norm_title,0,,[SJR Q2] Logos (United States),,Y
mabs,[CORE:acronym] International Workshop on MultiAgent Based Simulation | [SJR:norm_title] mAbs,CORE C | SJR Q1,acronym | norm_title,0,,[CORE C] International Workshop on MultiAgent Based Simulation,,Y
magnetic resonance imaging,[SJR:norm_title] Journal of Magnetic Resonance Imaging | [SJR:norm_title] Magnetic Resonance Imaging,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Magnetic Resonance Imaging,,Y
management,[SJR:norm_title] Journal of Management | [SJR:norm_title] Journal of International Management | [SJR:norm_title] Management (France) | [SJR:norm_title] Management (Croatia) | [SJR:norm_title] Management international | [SJR:norm_title] Management (Montevideo) (discontinued),SJR Q1 | SJR Q1 | SJR Q2 | SJR Q4 | SJR Q4 | SJR -,norm_title,0,,[SJR -] Management (Montevideo) (discontinued),,Y
management education,[SJR:norm_title] International Journal of Management Education | [SJR:norm_title] Journal of Management Education | [SJR:norm_title] Management in Education | [SJR:norm_title] International Journal of Management in Education,SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Management in Education,,Y
management review,[SJR:norm_title] Management International Review | [SJR:norm_title] Management Review (Taiwan),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Management Review (Taiwan),,Y
management sustainability,[SJR:norm_title] Management and Sustainability | [SJR:norm_title] International Journal of Management and Sustainability,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Management and Sustainability,,Y
manufacturing technology management,[SJR:norm_title] Journal of Manufacturing Technology Management | [SJR:norm_title] International Journal of Manufacturing Technology and Management,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Manufacturing Technology and Management,,Y
marine science technology,[SJR:norm_title] Journal of Marine Science and Technology | [SJR:norm_title] Journal of Marine Science and Technology (Taiwan),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Marine Science and Technology (Taiwan),,Y
materials science,[SJR:norm_title] Journal of Materials Science | [SJR:norm_title] Materials Science,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Materials Science,,Y
materials science technology,[SJR:norm_title] Journal of Materials Science and Technology | [SJR:norm_title] Materials Science and Technology (United Kingdom),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Materials Science and Technology (United Kingdom),,Y
meat science,[SJR:norm_title] Meat Science | [SJR:norm_title] Journal of Meat Science,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Meat Science,,Y
mechanical sciences,[SJR:norm_title] International Journal of Mechanical Sciences | [SJR:norm_title] Mechanical Sciences,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Mechanical Sciences,,Y
medical education,[SJR:norm_title] Medical Education | [SJR:norm_title] International Journal of Medical Education | [SJR:norm_title] International Medical Education,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Medical Education,,Y
medical humanities,[SJR:norm_title] Medical Humanities | [SJR:norm_title] Journal of Medical Humanities,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Medical Humanities,,Y
medical microbiology,[SJR:norm_title] International Journal of Medical Microbiology | [SJR:norm_title] Journal of Medical Microbiology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Medical Microbiology,,Y
medical mycology,[SJR:norm_title] Medical Mycology | [SJR:norm_title] Journal of Medical Mycology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Medical Mycology,,Y
medicinal chemistry,[SJR:norm_title] Journal of Medicinal Chemistry | [SJR:norm_title] Medicinal Chemistry,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Medicinal Chemistry,,Y
mediterranean archaeology,[SJR:norm_title] Journal of Mediterranean Archaeology | [SJR:norm_title] Mediterranean Archaeology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Mediterranean Archaeology,,Y
mental health,[SJR:norm_title] Journal of Mental Health | [SJR:norm_title] International Journal of Mental Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Mental Health,,Y
micro,[CORE:acronym] International Symposium on Microarchitecture | [SJR:norm_title] Micro,CORE A* | SJR Q2,acronym | norm_title,0,,[CORE A*] International Symposium on Microarchitecture,,Y
microbiology,[SJR:norm_title] Microbiology (United Kingdom) | [SJR:norm_title] International Journal of Microbiology | [SJR:norm_title] Journal of Microbiology | [SJR:norm_title] International Microbiology | [SJR:norm_title] Microbiology (Russian Federation),SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Microbiology (Russian Federation),,Y
microscopy,"[SJR:norm_title] Microscopy (Oxford, England) | [SJR:norm_title] Journal of Microscopy",SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Microscopy,,Y
mining science technology,[SJR:norm_title] International Journal of Mining Science and Technology | [SJR:norm_title] Mining Science and Technology (Russian Federation) | [SJR:norm_title] Journal of Mining Science and Technology,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Mining Science and Technology,,Y
molecular biology,[SJR:norm_title] Journal of Molecular Biology | [SJR:norm_title] Molecular Biology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Molecular Biology,,Y
morphology,[SJR:norm_title] Morphology | [SJR:norm_title] Journal of Morphology | [SJR:norm_title] International Journal of Morphology,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Morphology,,Y
multidisciplinary social sciences,[SJR:norm_title] International and Multidisciplinary Journal of Social Sciences | [SJR:norm_title] Journal of Multidisciplinary in Social Sciences,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Multidisciplinary in Social Sciences,,Y
nano letters,[SJR:norm_title] Nano Letters | [SJR:norm_title] International Nano Letters,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Nano Letters,,Y
nano research,[SJR:norm_title] Nano Research | [SJR:norm_title] Journal of Nano Research,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Nano Research,,Y
nanomaterials,[SJR:norm_title] Nanomaterials | [SJR:norm_title] Journal of Nanomaterials,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Nanomaterials,,Y
nanophotonics,[SJR:norm_title] Nanophotonics | [SJR:norm_title] Journal of Nanophotonics,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Nanophotonics,,Y
natural gas geoscience,[SJR:norm_title] Natural Gas Geoscience | [SJR:norm_title] Journal of Natural Gas Geoscience,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Natural Gas Geoscience,,Y
neonatology,[SJR:norm_title] Neonatology | [SJR:norm_title] Journal of Neonatology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Neonatology,,Y
neuro oncology,[SJR:norm_title] Neuro-Oncology | [SJR:norm_title] Journal of Neuro-Oncology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Neuro-Oncology,,Y
neurochemistry,[SJR:norm_title] Journal of Neurochemistry | [SJR:norm_title] Neurochemistry International,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Neurochemistry International,,Y
neurocritical care,[SJR:norm_title] Neurocritical Care | [SJR:norm_title] Journal of Neurocritical Care,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Neurocritical Care,,Y
neuroendocrinology,[SJR:norm_title] Journal of Neuroendocrinology | [SJR:norm_title] Neuroendocrinology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Neuroendocrinology,,Y
neuroscience research,[SJR:norm_title] Journal of Neuroscience Research | [SJR:norm_title] Neuroscience Research,SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Neuroscience Research,,Y
nonlinear science,[SJR:norm_title] Journal of Nonlinear Science | [SJR:norm_title] International Journal of Nonlinear Science,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Nonlinear Science,,Y
nucleus,[SJR:norm_title] Nucleus | [SJR:norm_title] Nucleus (India),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Nucleus (India),,Y
number theory,[SJR:norm_title] Journal of Number Theory | [SJR:norm_title] International Journal of Number Theory,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Number Theory,,Y
nutrition,[SJR:norm_title] Journal of Nutrition | [SJR:norm_title] Nutrition,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Nutrition,,Y
obstetrics gynecology,[SJR:norm_title] Obstetrics and Gynecology | [SJR:norm_title] Obstetrics and Gynecology International,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Obstetrics and Gynecology International,,Y
occupational environmental medicine,[SJR:norm_title] Occupational and Environmental Medicine | [SJR:norm_title] Journal of Occupational and Environmental Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Occupational and Environmental Medicine,,Y
oceanography,[SJR:norm_title] Oceanography | [SJR:norm_title] Journal of Oceanography,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Oceanography,,Y
oncology,[SJR:norm_title] International Journal of Oncology | [SJR:norm_title] Oncology (Switzerland) | [SJR:norm_title] Oncology (United States),SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Oncology (United States),,Y
one health,[SJR:norm_title] One Health | [SJR:norm_title] International Journal of One Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of One Health,,Y
operational research,[SJR:norm_title] Operational Research | [SJR:norm_title] International Journal of Operational Research,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Operational Research,,Y
ophthalmology,[SJR:norm_title] Ophthalmology | [SJR:norm_title] Journal of Ophthalmology | [SJR:norm_title] International Ophthalmology | [SJR:norm_title] International Journal of Ophthalmology,SJR Q1 | SJR Q2 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Ophthalmology,,Y
optimization,[SJR:norm_title] Optimization | [SJR:norm_title] Journal of Optimization,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Optimization,,Y
oral implantology,[SJR:norm_title] International Journal of Oral Implantology | [SJR:norm_title] Journal of Oral Implantology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Oral Implantology,,Y
oral maxillofacial surgery,[SJR:norm_title] International Journal of Oral and Maxillofacial Surgery | [SJR:norm_title] Journal of Oral and Maxillofacial Surgery | [SJR:norm_title] Oral and Maxillofacial Surgery,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Oral and Maxillofacial Surgery,,Y
oral science,[SJR:norm_title] International Journal of Oral Science | [SJR:norm_title] Journal of Oral Science | [SJR:norm_title] Oral Science International,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Oral Science International,,Y
orthopaedic surgery,[SJR:norm_title] Orthopaedic Surgery | [SJR:norm_title] Journal of Orthopaedic Surgery,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Orthopaedic Surgery,,Y
osteopathic medicine,[SJR:norm_title] Journal of Osteopathic Medicine | [SJR:norm_title] International Journal of Osteopathic Medicine,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Osteopathic Medicine,,Y
osteoporosis,[SJR:norm_title] Osteoporosis International | [SJR:norm_title] Journal of Osteoporosis,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Osteoporosis,,Y
palaeogeography,[SJR:norm_title] Journal of Palaeogeography | [SJR:norm_title] Journal of Palaeogeography (Chinese Edition),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Palaeogeography (Chinese Edition),,Y
pancreatology,[SJR:norm_title] Pancreatology | [SJR:norm_title] Journal of Pancreatology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Pancreatology,,Y
parallel distributed computing,[CORE:norm_title] International Symposium on Parallel and Distributed Computing | [SJR:norm_title] Journal of Parallel and Distributed Computing,CORE C | SJR Q1,norm_title,0,,[CORE C] International Symposium on Parallel and Distributed Computing,,Y
parasitology,[SJR:norm_title] Parasitology | [SJR:norm_title] Parasitology International | [SJR:norm_title] Journal of Parasitology,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Parasitology,,Y
parasitology research,[SJR:norm_title] Parasitology Research | [SJR:norm_title] Journal of Parasitology Research,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Parasitology Research,,Y
parkinson s disease,[SJR:norm_title] Journal of Parkinson's Disease | [SJR:norm_title] Parkinson's Disease,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Parkinson's Disease,,Y
peacekeeping,[SJR:norm_title] International Peacekeeping | [SJR:norm_title] Journal of International Peacekeeping,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of International Peacekeeping,,Y
pediatric research,[SJR:norm_title] Pediatric Research | [SJR:norm_title] Journal of Pediatric Research,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Pediatric Research,,Y
perfusion,[SJR:norm_title] Perfusion (United Kingdom) | [SJR:norm_title] Perfusion (Germany),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Perfusion (Germany),,Y
perinatology,[SJR:norm_title] Journal of Perinatology | [SJR:norm_title] Perinatology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Perinatology,,Y
personnel psychology,[SJR:norm_title] Personnel Psychology | [SJR:norm_title] Journal of Personnel Psychology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Personnel Psychology,,Y
petrology,[SJR:norm_title] Journal of Petrology | [SJR:norm_title] Petrology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Petrology,,Y
pets,[CORE:acronym] Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies) | [SJR:norm_title] Pets,CORE A | SJR Q2,acronym | norm_title,0,,[CORE A] Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),,Y
pharmacy practice,[SJR:norm_title] International Journal of Pharmacy Practice | [SJR:norm_title] Journal of Pharmacy Practice | [SJR:norm_title] Pharmacy Practice,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Pharmacy Practice,,Y
philosophia,[SJR:norm_title] Philosophia (United States) | [SJR:norm_title] Philosophia (Philippines),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Philosophia (Philippines),,Y
philosophical investigations,[SJR:norm_title] Philosophical Investigations | [SJR:norm_title] Journal of Philosophical Investigations,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Philosophical Investigations,,Y
philosophical quarterly,[SJR:norm_title] Philosophical Quarterly | [SJR:norm_title] International Philosophical Quarterly,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Philosophical Quarterly,,Y
photochemistry photobiology,[SJR:norm_title] Photochemistry and Photobiology | [SJR:norm_title] Journal of Photochemistry and Photobiology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Photochemistry and Photobiology,,Y
physical activity health,[SJR:norm_title] Journal of Physical Activity and Health | [SJR:norm_title] Physical Activity and Health,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Physical Activity and Health,,Y
physical oceanography,[SJR:norm_title] Journal of Physical Oceanography | [SJR:norm_title] Physical Oceanography,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Physical Oceanography,,Y
phytopathology,[SJR:norm_title] Phytopathology | [SJR:norm_title] Journal of Phytopathology | [SJR:norm_title] International Journal of Phytopathology,SJR Q1 | SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Phytopathology,,Y
plant biology,[SJR:norm_title] Plant Biology | [SJR:norm_title] Journal of Plant Biology | [SJR:norm_title] International Journal of Plant Biology,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Plant Biology,,Y
plant ecology,[SJR:norm_title] Journal of Plant Ecology | [SJR:norm_title] Plant Ecology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Plant Ecology,,Y
plant pathology,[SJR:norm_title] Plant Pathology | [SJR:norm_title] Journal of Plant Pathology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Plant Pathology,,Y
policy studies,[SJR:norm_title] Policy Studies | [SJR:norm_title] Journal of Policy Studies,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Policy Studies,,Y
political economy,[SJR:norm_title] Journal of Political Economy | [SJR:norm_title] International Journal of Political Economy,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Political Economy,,Y
political theory,[SJR:norm_title] Political Theory | [SJR:norm_title] Journal of International Political Theory,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of International Political Theory,,Y
polymer,[SJR:norm_title] Polymer | [SJR:norm_title] Polymer International | [SJR:norm_title] Polymer (Korea),SJR Q1 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Polymer (Korea),,Y
polymer science,[SJR:norm_title] Journal of Polymer Science | [SJR:norm_title] International Journal of Polymer Science,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Polymer Science,,Y
population economics,[SJR:norm_title] Journal of Population Economics | [SJR:norm_title] Population and Economics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Population and Economics,,Y
population studies,[SJR:norm_title] Population Studies | [SJR:norm_title] International Journal of Population Studies,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Population Studies,,Y
preventive medicine,[SJR:norm_title] Preventive Medicine | [SJR:norm_title] International Journal of Preventive Medicine,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Preventive Medicine,,Y
project management,[SJR:norm_title] International Journal of Project Management | [SJR:norm_title] Journal of Project Management (Canada),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Project Management (Canada),,Y
projections,[SJR:norm_title] Projections (New York) | [SJR:norm_title] Projections,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Projections,,Y
prosthodontics,[SJR:norm_title] Journal of Prosthodontics | [SJR:norm_title] International Journal of Prosthodontics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Prosthodontics,,Y
proteomics,[SJR:norm_title] Proteomics | [SJR:norm_title] Journal of Proteomics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Proteomics,,Y
psychological science,[SJR:norm_title] Psychological Science | [SJR:norm_title] Journal of Psychological Science,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Psychological Science,,Y
psychology,[SJR:norm_title] Journal of Psychology | [SJR:norm_title] International Journal of Psychology | [SJR:norm_title] Psychology,SJR Q1 | SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Psychology,,Y
psychopathology,[SJR:norm_title] Psychopathology | [SJR:norm_title] Journal of Psychopathology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Psychopathology,,Y
public administration,[SJR:norm_title] Public Administration | [SJR:norm_title] International Journal of Public Administration,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Public Administration,,Y
public policy,[SJR:norm_title] Journal of Public Policy | [SJR:norm_title] International Journal of Public Policy,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Public Policy,,Y
quantitative economics,[SJR:norm_title] Quantitative Economics | [SJR:norm_title] Journal of Quantitative Economics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Quantitative Economics,,Y
quaternary,[SJR:norm_title] Quaternary International | [SJR:norm_title] Quaternary,SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Quaternary,,Y
radiation research,[SJR:norm_title] Journal of Radiation Research | [SJR:norm_title] Radiation Research | [SJR:norm_title] International Journal of Radiation Research,SJR Q1 | SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Radiation Research,,Y
reading writing,[SJR:norm_title] Reading and Writing | [SJR:norm_title] Reading and Writing (South Africa),SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Reading and Writing (South Africa),,Y
refrigeration,[SJR:norm_title] International Journal of Refrigeration | [SJR:norm_title] Journal of Refrigeration,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Refrigeration,,Y
religion,[SJR:norm_title] Religion | [SJR:norm_title] Journal of Religion,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Religion,,Y
retos,[SJR:norm_title] Retos | [SJR:norm_title] Retos (Ecuador),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Retos (Ecuador),,Y
review economics,[SJR:norm_title] Annual Review of Economics | [SJR:norm_title] Review of International Economics | [SJR:norm_title] International Review of Economics | [SJR:norm_title] Review of Economics,SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Review of Economics,,Y
review education,[SJR:norm_title] Review of Education | [SJR:norm_title] International Review of Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Review of Education,,Y
review finance,[SJR:norm_title] Review of Finance | [SJR:norm_title] International Review of Finance,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Review of Finance,,Y
review financial economics,[SJR:norm_title] Annual Review of Financial Economics | [SJR:norm_title] Review of Financial Economics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Review of Financial Economics,,Y
review law economics,[SJR:norm_title] International Review of Law and Economics | [SJR:norm_title] Review of Law and Economics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Review of Law and Economics,,Y
review sociology,[SJR:norm_title] Annual Review of Sociology | [SJR:norm_title] International Review of Sociology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Review of Sociology,,Y
revista espanola de cardiologia,[SJR:norm_title] Revista Espanola de Cardiologia (English edition) | [SJR:norm_title] Revista Espanola de Cardiologia,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Revista Espanola de Cardiologia,,Y
rheumatic diseases,[SJR:norm_title] Journal of Rheumatic Diseases | [SJR:norm_title] International Journal of Rheumatic Diseases,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Rheumatic Diseases,,Y
rhinology,[SJR:norm_title] Rhinology | [SJR:norm_title] Journal of Rhinology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Rhinology,,Y
robotics,[SJR:norm_title] Robotics | [SJR:norm_title] Journal of Robotics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Robotics,,Y
russian linguistics,[SJR:norm_title] Russian Journal of Linguistics | [SJR:norm_title] Russian Linguistics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Russian Linguistics,,Y
school health,[SJR:norm_title] Journal of School Health | [SJR:norm_title] International Journal of School Health,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of School Health,,Y
science communication,[SJR:norm_title] Science Communication | [SJR:norm_title] Journal of Science Communication,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Science Communication,,Y
science education,[SJR:norm_title] Science Education | [SJR:norm_title] Science and Education | [SJR:norm_title] International Journal of Science Education | [SJR:norm_title] Science Education International,SJR Q1 | SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Science Education International,,Y
security,[CORE:norm_title] International Workshop on Security | [SJR:norm_title] International Security,CORE National: Japan | SJR Q1,norm_title,0,,[CORE National: Japan] International Workshop on Security,,Y
